Data supplied by UK-AIR on 1/4/2016
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Nottingham Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2015,01:00,44.200,R,ugm-3 (TEOM FDMS),6.30053,R,ugm-3,27.78735,R,ugm-3,37.44803,R,ugm-3,37.200,R,ugm-3 (TEOM FDMS),18.800,R,ugm-3 (TEOM FDMS),33.86038,R,ugm-3,22.000,R,ugm-3 (TEOM FDMS),3.09108,R,ugm-3,7.000,R,ugm-3 (TEOM FDMS),3.200,R,ugm-3 (TEOM FDMS)
01-01-2015,02:00,22.700,R,ugm-3 (TEOM FDMS),1.55372,R,ugm-3,14.45914,R,ugm-3,16.84148,R,ugm-3,19.200,R,ugm-3 (TEOM FDMS),10.200,R,ugm-3 (TEOM FDMS),50.15859,R,ugm-3,12.700,R,ugm-3 (TEOM FDMS),2.26177,R,ugm-3,3.500,R,ugm-3 (TEOM FDMS),2.500,R,ugm-3 (TEOM FDMS)
01-01-2015,03:00,24.600,R,ugm-3 (TEOM FDMS),2.10388,R,ugm-3,11.63422,R,ugm-3,14.86013,R,ugm-3,21.400,R,ugm-3 (TEOM FDMS),11.600,R,ugm-3 (TEOM FDMS),49.79272,R,ugm-3,14.600,R,ugm-3 (TEOM FDMS),2.09213,R,ugm-3,3.200,R,ugm-3 (TEOM FDMS),3.000,R,ugm-3 (TEOM FDMS)
01-01-2015,04:00,26.500,R,ugm-3 (TEOM FDMS),3.07460,R,ugm-3,11.87949,R,ugm-3,16.59381,R,ugm-3,20.700,R,ugm-3 (TEOM FDMS),10.700,R,ugm-3 (TEOM FDMS),47.84691,R,ugm-3,14.700,R,ugm-3 (TEOM FDMS),1.97904,R,ugm-3,5.800,R,ugm-3 (TEOM FDMS),4.000,R,ugm-3 (TEOM FDMS)
01-01-2015,05:00,21.700,R,ugm-3 (TEOM FDMS),10.32515,R,ugm-3,19.18907,R,ugm-3,35.02074,R,ugm-3,17.800,R,ugm-3 (TEOM FDMS),9.400,R,ugm-3 (TEOM FDMS),41.41078,R,ugm-3,11.100,R,ugm-3 (TEOM FDMS),2.43140,R,ugm-3,3.900,R,ugm-3 (TEOM FDMS),1.700,R,ugm-3 (TEOM FDMS)
01-01-2015,06:00,22.200,R,ugm-3 (TEOM FDMS),2.29784,R,ugm-3,11.83216,R,ugm-3,15.35546,R,ugm-3,18.400,R,ugm-3 (TEOM FDMS),8.900,R,ugm-3 (TEOM FDMS),48.84476,R,ugm-3,12.900,R,ugm-3 (TEOM FDMS),2.20522,R,ugm-3,3.800,R,ugm-3 (TEOM FDMS),4.000,R,ugm-3 (TEOM FDMS)
01-01-2015,07:00,18.700,R,ugm-3 (TEOM FDMS),2.68637,R,ugm-3,16.93280,R,ugm-3,21.05184,R,ugm-3,16.000,R,ugm-3 (TEOM FDMS),8.600,R,ugm-3 (TEOM FDMS),43.35658,R,ugm-3,10.000,R,ugm-3 (TEOM FDMS),1.92250,R,ugm-3,2.700,R,ugm-3 (TEOM FDMS),1.400,R,ugm-3 (TEOM FDMS)
01-01-2015,08:00,23.400,R,ugm-3 (TEOM FDMS),16.89593,R,ugm-3,36.35758,R,ugm-3,62.26431,R,ugm-3,20.900,R,ugm-3 (TEOM FDMS),10.600,R,ugm-3 (TEOM FDMS),20.50582,R,ugm-3,12.700,R,ugm-3 (TEOM FDMS),2.14868,R,ugm-3,2.500,R,ugm-3 (TEOM FDMS),2.100,R,ugm-3 (TEOM FDMS)
01-01-2015,09:00,66.700,R,ugm-3 (TEOM FDMS),12.78545,R,ugm-3,24.28301,R,ugm-3,43.88709,R,ugm-3,62.300,R,ugm-3 (TEOM FDMS),44.000,R,ugm-3 (TEOM FDMS),30.63400,R,ugm-3,46.100,R,ugm-3 (TEOM FDMS),2.26177,R,ugm-3,4.400,R,ugm-3 (TEOM FDMS),2.100,R,ugm-3 (TEOM FDMS)
01-01-2015,10:00,15.500,R,ugm-3 (TEOM FDMS),1.58594,R,ugm-3,10.94237,R,ugm-3,13.37411,R,ugm-3,11.400,R,ugm-3 (TEOM FDMS),3.700,R,ugm-3 (TEOM FDMS),53.28519,R,ugm-3,6.100,R,ugm-3 (TEOM FDMS),2.43140,R,ugm-3,4.100,R,ugm-3 (TEOM FDMS),2.400,R,ugm-3 (TEOM FDMS)
01-01-2015,11:00,10.500,R,ugm-3 (TEOM FDMS),1.39168,R,ugm-3,10.89312,R,ugm-3,13.02699,R,ugm-3,8.500,R,ugm-3 (TEOM FDMS),2.400,R,ugm-3 (TEOM FDMS),56.87745,R,ugm-3,3.700,R,ugm-3 (TEOM FDMS),2.03559,R,ugm-3,2.000,R,ugm-3 (TEOM FDMS),1.300,R,ugm-3 (TEOM FDMS)
01-01-2015,12:00,11.900,R,ugm-3 (TEOM FDMS),2.78366,R,ugm-3,23.52088,R,ugm-3,27.78910,R,ugm-3,6.800,R,ugm-3 (TEOM FDMS),2.200,R,ugm-3 (TEOM FDMS),45.80132,R,ugm-3,6.600,R,ugm-3 (TEOM FDMS),3.84500,R,ugm-3,5.100,R,ugm-3 (TEOM FDMS),4.400,R,ugm-3 (TEOM FDMS)
01-01-2015,13:00,10.800,R,ugm-3 (TEOM FDMS),1.68323,R,ugm-3,10.99114,R,ugm-3,13.57206,R,ugm-3,5.400,R,ugm-3 (TEOM FDMS),0.300,R,ugm-3 (TEOM FDMS),62.61509,R,ugm-3,2.700,R,ugm-3 (TEOM FDMS),2.43140,R,ugm-3,5.400,R,ugm-3 (TEOM FDMS),2.400,R,ugm-3 (TEOM FDMS)
01-01-2015,14:00,10.100,R,ugm-3 (TEOM FDMS),1.58594,R,ugm-3,10.44703,R,ugm-3,12.87878,R,ugm-3,5.100,R,ugm-3 (TEOM FDMS),2.000,R,ugm-3 (TEOM FDMS),64.51100,R,ugm-3,6.000,R,ugm-3 (TEOM FDMS),1.86596,R,ugm-3,5.000,R,ugm-3 (TEOM FDMS),4.000,R,ugm-3 (TEOM FDMS)
